Artikelnummer;Oms1;Oms2;Oms3;Zoeknaam;Groep;EAN;Verkoopprijs;Eenheid;Prijs per;Voorraad
X31612B         ;SAE FLENSKOPP.3000 PSI;;;X31612B ;F0201501;X31612B      ;22.8;ST      ;1;5
X31616B         ;SAE FLENSKOPP.3000 PSI;;;X31616B ;F0201501;X31616B      ;25.78;ST      ;1;4
X31620B         ;SAE FLENSKOPP.3000 PSI;;;X31620B ;F0201501;X31620B      ;98.05;ST      ;1;6
X32016B         ;SAE FLENSKOPP.3000 PSI;;;X32016B ;F0201501;X32016B      ;36.5;ST      ;1;7
X32020B         ;SAE FLENSKOPP.3000 PSI;;;X32020B ;F0201501;X32020B      ;38.53;ST      ;1;5
X32420B         ;SAE FLENSKOPP.3000 PSI;;;X32420B ;F0201501;X32420B      ;55.51;ST      ;1;5
X32424B         ;SAE FLENSKOPP.3000 PSI;;;X32424B ;F0201501;X32424B      ;66.1;ST      ;1;5
X33224B         ;SAE FLENSKOPP.3000 PSI;;;X33224B ;F0201501;X33224B      ;81.79;ST      ;1;0
X33232B         ;SAE FLENSKOPP.3000 PSI;;;X33232B ;F0201501;X33232B      ;77.73;ST      ;1;17
X34032B         ;SAE FLENSKOPP.3000 PSI;;;X34032B ;F0201501;X34032B      ;125.61;ST      ;1;0
X3450808B       ;SAE FLENSKOPP. 3000 PSI 45gr.;;;X3450808;F0201503;X3450808B    ;22.76;ST      ;1;10
X3450810B       ;SAE FLENSKOPP. 3000 PSI 45gr.;;;X3450810;F0201503;X3450810B    ;57.06;ST      ;1;6
X3450812B       ;SAE FLENSKOPP. 3000 PSI 45gr.;;;X3450812;F0201503;X3450812B    ;47.67;ST      ;1;4
